date,total_employees
2023-02-28,367
2023-01-31,369
2022-12-31,371
2022-11-30,373
2022-10-31,373
2022-09-30,380
2022-08-31,369
2022-07-31,369
2022-06-30,367
2022-05-31,357
2022-04-30,357
2022-03-31,351
2022-02-28,346
2022-01-31,343
2021-12-31,332
2021-11-30,329
2021-10-31,314
2021-09-30,304
2021-08-31,302
2021-07-31,293
2021-06-30,283
2021-05-31,276
2021-04-30,256
2021-03-31,248
2021-02-28,237
2021-01-31,234
2020-12-31,232
2020-11-30,228
2020-10-31,228
2020-09-30,225
2020-08-31,219
2020-07-31,212
2020-06-30,211
2020-05-31,202
2020-04-30,193
2020-03-31,193
