date,total_employees
2023-02-28,268
2023-01-31,269
2022-12-31,286
2022-11-30,306
2022-10-31,318
2022-09-30,310
2022-08-31,329
2022-07-31,327
2022-06-30,336
2022-05-31,327
2022-04-30,318
2022-03-31,312
2022-02-28,293
2022-01-31,284
2021-12-31,277
2021-11-30,273
2021-10-31,273
2021-09-30,268
2021-08-31,268
2021-07-31,262
2021-06-30,249
2021-05-31,231
2021-04-30,210
2021-03-31,194
2021-02-28,188
2021-01-31,160
2020-12-31,133
2020-11-30,133
2020-10-31,127
2020-09-30,120
2020-08-31,120
2020-07-31,116
2020-06-30,109
2020-05-31,105
2020-04-30,105
2020-03-31,103
