date,total_employees
2023-02-28,8118
2023-01-31,8255
2022-12-31,8536
2022-11-30,9365
2022-10-31,9485
2022-09-30,9601
2022-08-31,9780
2022-07-31,9691
2022-06-30,9585
2022-05-31,9394
2022-04-30,9172
2022-03-31,8980
2022-02-28,8677
2022-01-31,8386
2021-12-31,7856
2021-11-30,7685
2021-10-31,7247
2021-09-30,6888
2021-08-31,6575
2021-07-31,6132
2021-06-30,5767
2021-05-31,5412
2021-04-30,5064
2021-03-31,4874
2021-02-28,4722
2021-01-31,4570
2020-12-31,4280
2020-11-30,4195
2020-10-31,4058
2020-09-30,3973
2020-08-31,3920
2020-07-31,3825
2020-06-30,3721
2020-05-31,3671
2020-04-30,3567
2020-03-31,3508
